source,author,title,review_text,rating,bank
Google,Sensei Kumar,,Everywhere free transfer,4,Bank Dhofar
Google,kumar,,Very bad app and worst customer service,1,Bank Dhofar
Google,Grandpower Amrat,,It's better system to fast,5,Bank Dhofar
Google,Afroz Siddque,,Good app,5,Bank Dhofar
Google,Said Al-Naamani,,Keep it up bank sohar and good luck,5,Bank Dhofar
Google,Riaz Abdul,,"The app gets hanged very frequently, even after updating many times.",2,Bank Dhofar
Google,Bright Bennett,,Practical,5,Bank Dhofar
Google,Haris Muccadam,,Amazing app Very easy to use 👌 !,5,Bank Dhofar
Google,Jamil Alriyami,,Not stable,2,Bank Dhofar
Google,Masoud Alghaithi,,"The best available, genuinely unique level",5,Bank Dhofar
Google,El King Maged,,Nice App,5,Bank Dhofar
Google,Md jakir Hossain,,Nice,5,Bank Dhofar
Google,Mohammed Abdallah,,Too much time taking to verify installing process.,1,Bank Dhofar
Google,Mbrpakquriyat,,Good luck,5,Bank Dhofar
Google,Mejbah Sagor,,nice,5,Bank Dhofar
Google,Nawazish Ali,,Nawazish Asi good service,5,Bank Dhofar
Google,Arman Arman,,Alhamdulillah good app,5,Bank Dhofar
Google,Salim Man,,تحسن التطبيق بشكل كبير فقط فيه توجد مشكلة بسيطة عند تسجيل الخروج التطبيق يتوقف عن العمل,4,Bank Dhofar
Google,Rashid KV,,APPLICATION IS NOT OPENING AT ALL....,1,Bank Dhofar
Google,Mohammed Imran,,Nice,5,Bank Dhofar
Google,Irshad ansari,,Sohar international is very good bank,5,Bank Dhofar
Google,ALAM JAHANGIR,,Very good Mobile banking ❤️❤️❤️🌹🌹🌹💝💝💝,5,Bank Dhofar
Google,Jabed Vai,,Nice App,5,Bank Dhofar
Google,Wajid Mohammed,,"The new app is useful, but after making each payment, it will not be responsive unless you re login again.",4,Bank Dhofar
Google,Krishna Moorthy,,Good,5,Bank Dhofar
Google,Muhammad Haris,,Amazing app,5,Bank Dhofar
Google,A. Malik Al Balushi,,Perfect banking,5,Bank Dhofar
Google,Sharin Shahin,,Very good,5,Bank Dhofar
Google,sanjay shah,,Superb 👌👌👍👍,5,Bank Dhofar
